NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CRO00500_STARCH_AND_SUCROSE_METABOLISM	CRO00500_STARCH_AND_SUCROSE_METABOLISM	Details ...	47	-0.72067267	-2.1676702	0.0	1.980727E-4	2.1E-4	732	tags=47%, list=15%, signal=55%	
CRO00020_CITRATE_CYCLE_(TCA_CYCLE)	CRO00020_CITRATE_CYCLE_(TCA_CYCLE)	Details ...	28	-0.6621735	-1.8032722	0.0050733313	0.099235676	0.19307	750	tags=57%, list=16%, signal=67%	
CRO01200_CARBON_METABOLISM	CRO01200_CARBON_METABOLISM	Details ...	120	-0.50416595	-1.7701739	5.502366E-4	0.096553616	0.26948	445	tags=20%, list=9%, signal=22%	
CRO00310_LYSINE_DEGRADATION	CRO00310_LYSINE_DEGRADATION	Details ...	13	-0.748945	-1.7376877	0.01174372	0.10227696	0.35747	864	tags=77%, list=18%, signal=94%	
CRO00380_TRYPTOPHAN_METABOLISM	CRO00380_TRYPTOPHAN_METABOLISM	Details ...	8	-0.82585174	-1.7177547	0.010790888	0.099821225	0.4176	382	tags=50%, list=8%, signal=54%	
CRO01120_MICROBIAL_METABOLISM_IN_DIVERSE_ENVIRONMENTS	CRO01120_MICROBIAL_METABOLISM_IN_DIVERSE_ENVIRONMENTS	Details ...	262	-0.43348154	-1.6750755	1.841125E-4	0.1241662	0.55467	769	tags=23%, list=16%, signal=25%	
CRO00030_PENTOSE_PHOSPHATE_PATHWAY	CRO00030_PENTOSE_PHOSPHATE_PATHWAY	Details ...	42	-0.55798477	-1.64616	0.014958526	0.13672087	0.64768	18	tags=7%, list=0%, signal=7%	
CRO00920_SULFUR_METABOLISM	CRO00920_SULFUR_METABOLISM	Details ...	41	-0.55591714	-1.6313195	0.0175292	0.13504946	0.69244	2	tags=2%, list=0%, signal=2%	
CRO01110_BIOSYNTHESIS_OF_SECONDARY_METABOLITES	CRO01110_BIOSYNTHESIS_OF_SECONDARY_METABOLITES	Details ...	356	-0.38935444	-1.5527358	5.1754195E-4	0.21562688	0.87933	769	tags=21%, list=16%, signal=24%	
CRO00630_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	CRO00630_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	Details ...	35	-0.540377	-1.5378913	0.03841911	0.21489625	0.90382	445	tags=20%, list=9%, signal=22%	
CRO00300_LYSINE_BIOSYNTHESIS	CRO00300_LYSINE_BIOSYNTHESIS	Details ...	16	-0.6286922	-1.5260783	0.05800132	0.21126783	0.92117	1354	tags=75%, list=28%, signal=105%	
CRO00270_CYSTEINE_AND_METHIONINE_METABOLISM	CRO00270_CYSTEINE_AND_METHIONINE_METABOLISM	Details ...	41	-0.51917607	-1.5216663	0.038855515	0.199221	0.92641	97	tags=7%, list=2%, signal=7%	
CRO00620_PYRUVATE_METABOLISM	CRO00620_PYRUVATE_METABOLISM	Details ...	54	-0.4802885	-1.4824195	0.041191757	0.23521444	0.96441	536	tags=31%, list=11%, signal=35%	
CRO02024_QUORUM_SENSING	CRO02024_QUORUM_SENSING	Details ...	58	-0.4505112	-1.4106199	0.06455979	0.3278826	0.9938	227	tags=9%, list=5%, signal=9%	
CRO00910_NITROGEN_METABOLISM	CRO00910_NITROGEN_METABOLISM	Details ...	26	-0.52189606	-1.403767	0.09897251	0.31743145	0.99476	545	tags=23%, list=11%, signal=26%	
CRO01230_BIOSYNTHESIS_OF_AMINO_ACIDS	CRO01230_BIOSYNTHESIS_OF_AMINO_ACIDS	Details ...	137	-0.3616146	-1.292208	0.08250015	0.50989795	0.99985	384	tags=9%, list=8%, signal=10%	
CRO00480_GLUTATHIONE_METABOLISM	CRO00480_GLUTATHIONE_METABOLISM	Details ...	25	-0.47475594	-1.2665719	0.18677162	0.536357	0.99999	884	tags=40%, list=19%, signal=49%	
CRO01501_BETA-LACTAM_RESISTANCE	CRO01501_BETA-LACTAM_RESISTANCE	Details ...	19	-0.49281168	-1.2409407	0.21472146	0.56414104	0.99999	692	tags=26%, list=15%, signal=31%	
CRO00010_GLYCOLYSIS_/_GLUCONEOGENESIS	CRO00010_GLYCOLYSIS_/_GLUCONEOGENESIS	Details ...	50	-0.39924452	-1.2149919	0.19890237	0.593494	1.0	666	tags=26%, list=14%, signal=30%	
CRO00330_ARGININE_AND_PROLINE_METABOLISM	CRO00330_ARGININE_AND_PROLINE_METABOLISM	Details ...	25	-0.45468554	-1.2124791	0.22693999	0.5695632	1.0	912	tags=40%, list=19%, signal=49%	
CRO00680_METHANE_METABOLISM	CRO00680_METHANE_METABOLISM		31	-0.42229494	-1.1748402	0.2544349	0.62694705	1.0	107	tags=10%, list=2%, signal=10%	
CRO00130_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS	CRO00130_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS		20	-0.44598234	-1.1346763	0.3092635	0.69233125	1.0	45	tags=5%, list=1%, signal=5%	
CRO00281_GERANIOL_DEGRADATION	CRO00281_GERANIOL_DEGRADATION		5	-0.5970959	-1.1123592	0.37167087	0.7154187	1.0	768	tags=40%, list=16%, signal=48%	
CRO00051_FRUCTOSE_AND_MANNOSE_METABOLISM	CRO00051_FRUCTOSE_AND_MANNOSE_METABOLISM		45	-0.3575764	-1.0711212	0.35728636	0.7857772	1.0	1496	tags=38%, list=31%, signal=55%	
CRO00860_PORPHYRIN_METABOLISM	CRO00860_PORPHYRIN_METABOLISM		36	-0.3697009	-1.0592675	0.3776619	0.78329486	1.0	651	tags=17%, list=14%, signal=19%	
CRO00410_BETA-ALANINE_METABOLISM	CRO00410_BETA-ALANINE_METABOLISM		7	-0.5166277	-1.0440959	0.42944026	0.789845	1.0	1144	tags=57%, list=24%, signal=75%	
CRO00261_MONOBACTAM_BIOSYNTHESIS	CRO00261_MONOBACTAM_BIOSYNTHESIS		11	-0.44857475	-1.0028045	0.4619731	0.86061877	1.0	1108	tags=55%, list=23%, signal=71%	
CRO02020_TWO-COMPONENT_SYSTEM	CRO02020_TWO-COMPONENT_SYSTEM		148	-0.26326242	-0.95135516	0.5531951	0.95755756	1.0	422	tags=14%, list=9%, signal=14%	
CRO02010_ABC_TRANSPORTERS	CRO02010_ABC_TRANSPORTERS		205	-0.23937912	-0.9012379	0.6843249	1.0	1.0	1094	tags=26%, list=23%, signal=33%	
CRO00541_O-ANTIGEN_NUCLEOTIDE_SUGAR_BIOSYNTHESIS	CRO00541_O-ANTIGEN_NUCLEOTIDE_SUGAR_BIOSYNTHESIS		20	-0.33825636	-0.8616478	0.6360429	1.0	1.0	1190	tags=40%, list=25%, signal=53%	
