mapping	gene_id	old_locus_tag	gene_name	gene_name_synonym	product	product_kegg	baseMean	log2FoldChange	lfcSE	lfc_MAP	lfcSE_MAP	stat	pvalue	padj	weight	gene_biotype	note
NC_013716.1	ROD_RS02525	ROD_05021	NA	NA	PLP-dependent cysteine synthase family protein	putative lyase	1074.79428900564	-3.18484441990357	0.120208226147347	-3.17655644033071	0.120485404628385	-26.4943966147516	1.12460758122328e-154	4.45457272776259e-151	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS15095	ROD_30681	rpoS	NA	RNA polymerase sigma factor RpoS	RNA polymerase sigma factor (sigma-38)	9734.14599730357	-1.33554553296454	0.0728935413736029	-1.3276910998631	0.0731324310481933	-18.3218637453686	5.53832947316798e-75	8.14935406874385e-72	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS24125	ROD_48981	osmY	NA	molecular chaperone OsmY	osmotically-inducible protein Y	985.518567547537	-2.01030979446979	0.113674241841948	-1.99764324670734	0.114103954891886	-17.6848313381752	5.48850495592442e-70	7.24665945735389e-67	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS23545	ROD_47661	NA	NA	serine dehydratase subunit alpha family protein	conserved hypothetical protein	651.682952576916	-2.3821543093891	0.153567499106588	-2.36258172859861	0.154979438642972	-15.5120993911329	2.8732852483932e-54	2.7556496736161e-51	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS23540	ROD_47651	NA	NA	amino acid permease	putative membrane protein	311.105208260296	-2.80959000126696	0.182263273715874	-2.786589090255	0.183076304883051	-15.4150089811662	1.29752812844676e-53	9.32537162021798e-51	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS06340	ROD_12691	yeaG	NA	protein kinase YeaG	putative serine protein kinase	851.214395360741	-1.75635391300633	0.119294825723295	-1.73986992017347	0.119959338263435	-14.7228004429982	4.60200959043446e-49	2.94943252265387e-46	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS28200	ROD_25701	NA	NA	Ig-like domain-containing protein	large repetitive protein	1580.95229658342	-1.1845153451037	0.0897831399538081	-1.17105016699439	0.0902690586167688	-13.1930710566941	9.61855142161903e-40	5.27128968992976e-37	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS14590	ROD_29521	croI	NA	N-acyl homoserine lactone synthase CroI	N-acyl homoserine lactone synthase CroI	664.475270205645	-6.46641876460228	0.491828289127958	-6.38185645871541	0.501765322457776	-13.1477162000332	1.75392299209663e-39	8.43068242274973e-37	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS14015	ROD_28361	sdaC	NA	HAAAP family serine/threonine permease SdaC	serine transporter	5399.89612603553	0.929983016251951	0.0719595739750111	0.919300154744219	0.0723447535650745	12.923687077065	3.30896795571219e-38	1.4138139021241e-35	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS11015	ROD_22221	fbaB	NA	class I fructose-bisphosphate aldolase	fructose-bisphosphate aldolase class 1	378.213767251608	-2.00903542336713	0.157608735612227	-1.98402904262731	0.158647332790356	-12.7469801439817	3.24056870817848e-37	1.25945125002749e-34	1.23838514528629	protein_coding	NA
NC_013716.1	ROD_RS04140	ROD_08141	dps	pexB	DNA starvation/stationary phase protection protein Dps	DNA protection during starvation protein	1085.01948699941	-1.33618648069097	0.106847426268809	-1.32008936292799	0.107535021134491	-12.5055560751586	6.96109930340278e-36	2.08456745773916e-33	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS14700	ROD_29831	eae	NA	intimin	intimin	109715.997465597	0.813882968995193	0.065076507904115	0.805072442522457	0.0654122315645461	12.5065556712782	6.87407758267973e-36	2.08456745773916e-33	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS11935	ROD_24131	tktB	tkt	transketolase	transketolase 2	552.009271467012	-1.6723459897824	0.13694473819412	-1.64979074074868	0.137973595397054	-12.2118309314802	2.68771792780527e-34	7.93132212539961e-32	1.25461538461538	protein_coding	NA
