Plasmid,gene_id,old_locus_tag,gene_biotype,Gene,synonym,product,product_kegg,note,other,protein_id,inference_coordinates,exon_number
NC_013716.1,ROD_RS00010,ROD_00001,protein_coding,thrL,NA,thr operon leader peptide,Thr operon leader peptide (Thr operon attenuator),NA,NA,WP_012904385.1,similar to AA sequence:RefSeq:NP_414542.1,1
NC_013716.1,ROD_RS00015,ROD_00011,protein_coding,thrA,NA,bifunctional aspartate kinase/homoserine dehydrogenase I,bifunctional aspartokinase I/homoserine dehydrogenase I,NA,NA,WP_012904386.1,similar to AA sequence:RefSeq:WP_005124053.1,1
NC_013716.1,ROD_RS00020,ROD_00021,protein_coding,thrB,NA,homoserine kinase,homoserine kinase,NA,NA,WP_012904387.1,similar to AA sequence:RefSeq:NP_459008.1,1
NC_013716.1,ROD_RS00025,ROD_00031,protein_coding,thrC,NA,threonine synthase,threonine synthase,NA,NA,WP_012904388.1,similar to AA sequence:RefSeq:NP_459009.1,1
NC_013716.1,ROD_RS00030,ROD_00041,protein_coding,yaaA,NA,peroxide stress protein YaaA,conserved hypothetical protein,NA,NA,WP_012904389.1,similar to AA sequence:RefSeq:NP_459010.1,1
NC_013716.1,ROD_RS00035,ROD_00051,protein_coding,NA,NA,sodium:alanine symporter family protein,putative transport protein,NA,NA,WP_012904390.1,similar to AA sequence:RefSeq:WP_001112548.1,1
NC_013716.1,ROD_RS00040,ROD_00061,protein_coding,talB,tal,transaldolase,transaldolase B,NA,NA,WP_012904391.1,similar to AA sequence:RefSeq:NP_459012.1,1
NC_013716.1,ROD_RS00045,ROD_00071,protein_coding,mog,NA,molybdopterin adenylyltransferase,molybdopterin biosynthesis Mog protein,NA,NA,WP_012904392.1,similar to AA sequence:RefSeq:WP_019078329.1,1
NC_013716.1,ROD_RS00050,ROD_00081,protein_coding,NA,NA,MFS transporter,putative transport protein,NA,NA,WP_012904393.1,similar to AA sequence:RefSeq:WP_012134161.1,1
NC_013716.1,ROD_RS00055,ROD_00091,protein_coding,satP,NA,acetate uptake transporter,putative membrane protein,NA,NA,WP_012904394.1,similar to AA sequence:RefSeq:NP_308037.1,1
NC_013716.1,ROD_RS00060,ROD_00101,protein_coding,dnaK,NA,molecular chaperone DnaK,chaperone protein DnaK (heat shock protein 70),NA,NA,WP_012904395.1,similar to AA sequence:RefSeq:WP_001737966.1,1
